date,admin2,market,category,commodity,pricetype,price
#date,#adm2+name,#loc+market+name,#item+type,#item+name,#item+price+type,#value
2006-01-15,Mombasa,Mombasa,cereals and tubers,Maize,Wholesale,16.13
2006-01-15,Mombasa,Mombasa,cereals and tubers,Maize (white),Wholesale,1480.0
2006-01-15,Mombasa,Mombasa,pulses and nuts,Beans,Wholesale,33.63
2006-01-15,Mombasa,Mombasa,pulses and nuts,Beans (dry),Wholesale,3246.0
2006-01-15,Kitui,Kitui,cereals and tubers,Maize (white),Retail,17.0
2006-01-15,Kitui,Kitui,cereals and tubers,Potatoes (Irish),Wholesale,1249.99
2006-01-15,Kitui,Kitui,cereals and tubers,Sorghum,Wholesale,1800.0
2006-01-15,Kitui,Kitui,pulses and nuts,Beans (dry),Retail,39.0
2006-01-15,Marsabit,Marsabit,cereals and tubers,Maize (white),Retail,21.0
2006-01-15,Nairobi,Nairobi,cereals and tubers,Bread,Retail,26.0
2006-01-15,Nairobi,Nairobi,cereals and tubers,Maize,Wholesale,15.48
2006-01-15,Nairobi,Nairobi,cereals and tubers,Maize (white),Wholesale,1399.0
2006-01-15,Nairobi,Nairobi,cereals and tubers,Potatoes (Irish),Wholesale,664.43
2006-01-15,Nairobi,Nairobi,cereals and tubers,Sorghum,Wholesale,1960.0
2006-01-15,Nairobi,Nairobi,milk and dairy,"Milk (cow, pasteurized)",Retail,22.0
2006-01-15,Nairobi,Nairobi,oil and fats,Oil (vegetable),Retail,115.0
2006-01-15,Nairobi,Nairobi,pulses and nuts,Beans,Wholesale,42.31
2006-01-15,Nairobi,Nairobi,pulses and nuts,Beans (dry),Wholesale,3175.0
2006-01-15,Mandera,Mandera,cereals and tubers,Maize (white),Retail,30.0
2006-01-15,Kisumu,Kisumu,cereals and tubers,Maize,Wholesale,14.84
2006-01-15,Kisumu,Kisumu,cereals and tubers,Maize (white),Wholesale,1320.0
2006-01-15,Kisumu,Kisumu,cereals and tubers,Potatoes (Irish),Wholesale,1074.07
2006-01-15,Kisumu,Kisumu,cereals and tubers,Sorghum,Wholesale,1600.0
2006-01-15,Kisumu,Kisumu,pulses and nuts,Beans,Wholesale,39.61
2006-01-15,Kisumu,Kisumu,pulses and nuts,Beans (dry),Wholesale,4000.0
2006-01-15,Turkana,Lodwar (Turkana),cereals and tubers,Maize (white),Retail,26.0
2006-01-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,Wholesale,12.96
2006-01-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize (white),Wholesale,1192.0
2006-01-15,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,Wholesale,45.85
2006-01-15,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans (dry),Wholesale,2799.0
2006-02-15,Mombasa,Mombasa,cereals and tubers,Maize,Wholesale,16.41
2006-02-15,Mombasa,Mombasa,cereals and tubers,Maize (white),Wholesale,1523.0
2006-02-15,Mombasa,Mombasa,pulses and nuts,Beans,Wholesale,39.48
2006-02-15,Mombasa,Mombasa,pulses and nuts,Beans (dry),Wholesale,3400.0
2006-02-15,Kitui,Kitui,cereals and tubers,Maize (white),Retail,18.0
2006-02-15,Kitui,Kitui,cereals and tubers,Potatoes (Irish),Wholesale,1555.55
2006-02-15,Kitui,Kitui,cereals and tubers,Sorghum,Wholesale,2000.0
2006-02-15,Kitui,Kitui,pulses and nuts,Beans (dry),Retail,42.0
2006-02-15,Marsabit,Marsabit,cereals and tubers,Maize (white),Retail,22.0
2006-02-15,Nairobi,Nairobi,cereals and tubers,Bread,Retail,26.0
2006-02-15,Nairobi,Nairobi,cereals and tubers,Maize,Wholesale,16.41
2006-02-15,Nairobi,Nairobi,cereals and tubers,Maize (white),Wholesale,1488.0
2006-02-15,Nairobi,Nairobi,cereals and tubers,Potatoes (Irish),Wholesale,694.44
2006-02-15,Nairobi,Nairobi,cereals and tubers,Sorghum,Wholesale,2260.0
2006-02-15,Nairobi,Nairobi,milk and dairy,"Milk (cow, pasteurized)",Retail,25.0
2006-02-15,Nairobi,Nairobi,oil and fats,Oil (vegetable),Retail,120.0
2006-02-15,Nairobi,Nairobi,pulses and nuts,Beans,Wholesale,47.1
2006-02-15,Nairobi,Nairobi,pulses and nuts,Beans (dry),Wholesale,3485.0
2006-02-15,Mandera,Mandera,cereals and tubers,Maize (white),Retail,29.0
2006-02-15,Kisumu,Kisumu,cereals and tubers,Maize,Wholesale,17.83
2006-02-15,Kisumu,Kisumu,cereals and tubers,Maize (white),Wholesale,1456.0
2006-02-15,Kisumu,Kisumu,cereals and tubers,Potatoes (Irish),Wholesale,1184.99
2006-02-15,Kisumu,Kisumu,cereals and tubers,Sorghum,Wholesale,1600.0
2006-02-15,Kisumu,Kisumu,pulses and nuts,Beans,Wholesale,42.79
2006-02-15,Kisumu,Kisumu,pulses and nuts,Beans (dry),Wholesale,4000.0
2006-02-15,Turkana,Lodwar (Turkana),cereals and tubers,Maize (white),Retail,28.0
2006-02-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,Wholesale,13.12
2006-02-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize (white),Wholesale,1304.0
2006-02-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Potatoes (Irish),Wholesale,1038.33
2006-02-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Sorghum,Wholesale,1504.0
2006-02-15,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,Wholesale,44.02
2006-02-15,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans (dry),Wholesale,3150.0
2006-03-15,Mombasa,Mombasa,cereals and tubers,Maize,Wholesale,16.98
2006-03-15,Mombasa,Mombasa,cereals and tubers,Maize (white),Wholesale,1476.0
2006-03-15,Mombasa,Mombasa,pulses and nuts,Beans,Wholesale,44.69
2006-03-15,Mombasa,Mombasa,pulses and nuts,Beans (dry),Wholesale,3958.75
2006-03-15,Kitui,Kitui,cereals and tubers,Maize (white),Retail,18.0
2006-03-15,Kitui,Kitui,cereals and tubers,Potatoes (Irish),Wholesale,1722.21
2006-03-15,Kitui,Kitui,cereals and tubers,Sorghum,Wholesale,2000.0
2006-03-15,Kitui,Kitui,pulses and nuts,Beans (dry),Retail,47.0
2006-03-15,Marsabit,Marsabit,cereals and tubers,Maize (white),Retail,22.0
2006-03-15,Nairobi,Nairobi,cereals and tubers,Bread,Retail,26.0
2006-03-15,Nairobi,Nairobi,cereals and tubers,Maize,Wholesale,16.91
2006-03-15,Nairobi,Nairobi,cereals and tubers,Maize (white),Wholesale,1500.0
2006-03-15,Nairobi,Nairobi,cereals and tubers,Potatoes (Irish),Wholesale,961.11
2006-03-15,Nairobi,Nairobi,cereals and tubers,Sorghum,Wholesale,2250.0
2006-03-15,Nairobi,Nairobi,milk and dairy,"Milk (cow, pasteurized)",Retail,25.0
2006-03-15,Nairobi,Nairobi,oil and fats,Oil (vegetable),Retail,108.0
2006-03-15,Nairobi,Nairobi,pulses and nuts,Beans,Wholesale,42.31
2006-03-15,Nairobi,Nairobi,pulses and nuts,Beans (dry),Wholesale,3760.0
2006-03-15,Mandera,Mandera,cereals and tubers,Maize (white),Retail,27.0
2006-03-15,Kisumu,Kisumu,cereals and tubers,Maize,Wholesale,14.75
2006-03-15,Kisumu,Kisumu,cereals and tubers,Maize (white),Wholesale,1554.55
2006-03-15,Kisumu,Kisumu,cereals and tubers,Potatoes (Irish),Wholesale,1872.91
2006-03-15,Kisumu,Kisumu,cereals and tubers,Sorghum,Wholesale,1595.0
2006-03-15,Kisumu,Kisumu,pulses and nuts,Beans,Wholesale,54.52
2006-03-15,Kisumu,Kisumu,pulses and nuts,Beans (dry),Wholesale,4515.0
2006-03-15,Turkana,Lodwar (Turkana),cereals and tubers,Maize (white),Retail,27.0
2006-03-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,Wholesale,13.31
2006-03-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize (white),Wholesale,1162.22
2006-03-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Potatoes (Irish),Wholesale,875.97
2006-03-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Sorghum,Wholesale,1115.75
2006-03-15,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,Wholesale,50.54
2006-03-15,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans (dry),Wholesale,3305.0
2006-04-15,Mombasa,Mombasa,cereals and tubers,Maize,Wholesale,17.17
2006-04-15,Mombasa,Mombasa,cereals and tubers,Maize (white),Wholesale,1595.0
2006-04-15,Mombasa,Mombasa,pulses and nuts,Beans,Wholesale,43.84
2006-04-15,Mombasa,Mombasa,pulses and nuts,Beans (dry),Wholesale,3995.0
2006-04-15,Kitui,Kitui,cereals and tubers,Maize (white),Retail,19.0
2006-04-15,Kitui,Kitui,cereals and tubers,Potatoes (Irish),Wholesale,1555.55
2006-04-15,Kitui,Kitui,cereals and tubers,Sorghum,Wholesale,2000.0
2006-04-15,Kitui,Kitui,pulses and nuts,Beans (dry),Retail,53.0
2006-04-15,Marsabit,Marsabit,cereals and tubers,Maize (white),Retail,24.0
2006-04-15,Nairobi,Nairobi,cereals and tubers,Bread,Retail,26.0
2006-04-15,Nairobi,Nairobi,cereals and tubers,Maize,Wholesale,17.02
2006-04-15,Nairobi,Nairobi,cereals and tubers,Maize (white),Wholesale,1540.0
2006-04-15,Nairobi,Nairobi,cereals and tubers,Potatoes (Irish),Wholesale,1388.88
2006-04-15,Nairobi,Nairobi,cereals and tubers,Sorghum,Wholesale,2310.0
